time = 3200, robot_id = 3, x = 0.07, y = 0.24
time = 3200, robot_id = 4, x = 0.46, y = -0.00
time = 3264, robot_id = 0, x = -0.21, y = -0.27
time = 3264, robot_id = 1, x = 0.33, y = -0.32
time = 3264, robot_id = 2, x = 0.27, y = 0.15
time = 3264, robot_id = 3, x = 0.07, y = 0.23
time = 3264, robot_id = 4, x = 0.46, y = 0.00
time = 3328, robot_id = 0, x = -0.20, y = -0.27
time = 3328, robot_id = 1, x = 0.32, y = -0.32
time = 3328, robot_id = 2, x = 0.28, y = 0.15
time = 3328, robot_id = 3, x = 0.07, y = 0.23
time = 3328, robot_id = 4, x = 0.46, y = -0.00
time = 3392, robot_id = 0, x = -0.20, y = -0.26
time = 3392, robot_id = 1, x = 0.32, y = -0.33
time = 3392, robot_id = 2, x = 0.28, y = 0.14
time = 3392, robot_id = 3, x = 0.08, y = 0.22
time = 3392, robot_id = 4, x = 0.46, y = -0.00
time = 3456, robot_id = 0, x = -0.19, y = -0.26
time = 3456, robot_id = 1, x = 0.32, y = -0.33
time = 3456, robot_id = 2, x = 0.28, y = 0.13
time = 3456, robot_id = 3, x = 0.08, y = 0.22
time = 3456, robot_id = 4, x = 0.46, y = -0.00
time = 3520, robot_id = 0, x = -0.19, y = -0.25
time = 3520, robot_id = 1, x = 0.32, y = -0.34
time = 3520, robot_id = 2, x = 0.28, y = 0.13
time = 3520, robot_id = 3, x = 0.08, y = 0.21
time = 3520, robot_id = 4, x = 0.46, y = 0.00
time = 3584, robot_id = 0, x = -0.19, y = -0.25
time = 3584, robot_id = 1, x = 0.31, y = -0.34
time = 3584, robot_id = 2, x = 0.28, y = 0.12
time = 3584, robot_id = 3, x = 0.08, y = 0.21
time = 3584, robot_id = 4, x = 0.46, y = 0.00
time = 3648, robot_id = 0, x = -0.18, y = -0.25
time = 3648, robot_id = 1, x = 0.31, y = -0.35
time = 3648, robot_id = 2, x = 0.29, y = 0.12
time = 3648, robot_id = 3, x = 0.09, y = 0.20
time = 3648, robot_id = 4, x = 0.46, y = 0.00
time = 3712, robot_id = 0, x = -0.18, y = -0.24
time = 3712, robot_id = 1, x = 0.31, y = -0.35
time = 3712, robot_id = 2, x = 0.29, y = 0.12
time = 3712, robot_id = 3, x = 0.09, y = 0.20
time = 3712, robot_id = 4, x = 0.46, y = -0.00
time = 3776, robot_id = 0, x = -0.17, y = -0.24
time = 3776, robot_id = 1, x = 0.31, y = -0.36
time = 3776, robot_id = 2, x = 0.29, y = 0.11
time = 3776, robot_id = 3, x = 0.09, y = 0.19
time = 3776, robot_id = 4, x = 0.46, y = -0.00
time = 3840, robot_id = 0, x = -0.17, y = -0.24
time = 3840, robot_id = 1, x = 0.30, y = -0.36
time = 3840, robot_id = 2, x = 0.29, y = 0.11
time = 3840, robot_id = 3, x = 0.09, y = 0.19
time = 3840, robot_id = 4, x = 0.46, y = -0.00
time = 3904, robot_id = 0, x = -0.16, y = -0.23
time = 3904, robot_id = 1, x = 0.30, y = -0.37
time = 3904, robot_id = 2, x = 0.29, y = 0.10
time = 3904, robot_id = 3, x = 0.10, y = 0.18
time = 3904, robot_id = 4, x = 0.46, y = -0.00
time = 3968, robot_id = 0, x = -0.16, y = -0.23
time = 3968, robot_id = 1, x = 0.30, y = -0.37
time = 3968, robot_id = 2, x = 0.29, y = 0.10
time = 3968, robot_id = 3, x = 0.10, y = 0.18
time = 3968, robot_id = 4, x = 0.46, y = -0.01
time = 4032, robot_id = 0, x = -0.16, y = -0.23
time = 4032, robot_id = 1, x = 0.29, y = -0.38
time = 4032, robot_id = 2, x = 0.29, y = 0.09
time = 4032, robot_id = 3, x = 0.10, y = 0.17
time = 4032, robot_id = 4, x = 0.46, y = -0.00
time = 4096, robot_id = 0, x = -0.15, y = -0.22
time = 4096, robot_id = 1, x = 0.29, y = -0.38
time = 4096, robot_id = 2, x = 0.30, y = 0.09
time = 4096, robot_id = 3, x = 0.10, y = 0.17
time = 4096, robot_id = 4, x = 0.46, y = -0.00
time = 4160, robot_id = 0, x = -0.15, y = -0.22
time = 4160, robot_id = 1, x = 0.29, y = -0.39
time = 4160, robot_id = 2, x = 0.30, y = 0.08
time = 4160, robot_id = 3, x = 0.10, y = 0.16
time = 4160, robot_id = 4, x = 0.46, y = -0.01
time = 4224, robot_id = 0, x = -0.14, y = -0.22
time = 4224, robot_id = 1, x = 0.28, y = -0.39
time = 4224, robot_id = 2, x = 0.30, y = 0.08
time = 4224, robot_id = 3, x = 0.10, y = 0.16
time = 4224, robot_id = 4, x = 0.46, y = -0.01
time = 4288, robot_id = 0, x = -0.14, y = -0.21
time = 4288, robot_id = 1, x = 0.28, y = -0.39
time = 4288, robot_id = 2, x = 0.30, y = 0.08
time = 4288, robot_id = 3, x = 0.11, y = 0.15
time = 4288, robot_id = 4, x = 0.46, y = -0.01
time = 4352, robot_id = 0, x = -0.13, y = -0.21
time = 4352, robot_id = 1, x = 0.27, y = -0.40
time = 4352, robot_id = 2, x = 0.30, y = 0.07
time = 4352, robot_id = 3, x = 0.11, y = 0.15
time = 4352, robot_id = 4, x = 0.46, y = -0.02
time = 4416, robot_id = 0, x = -0.13, y = -0.21
time = 4416, robot_id = 1, x = 0.27, y = -0.40
time = 4416, robot_id = 2, x = 0.30, y = 0.06
time = 4416, robot_id = 3, x = 0.11, y = 0.14
time = 4416, robot_id = 4, x = 0.46, y = -0.02
time = 4480, robot_id = 0, x = -0.12, y = -0.21
time = 4480, robot_id = 1, x = 0.27, y = -0.41
time = 4480, robot_id = 2, x = 0.30, y = 0.06
time = 4480, robot_id = 3, x = 0.11, y = 0.13
time = 4480, robot_id = 4, x = 0.45, y = -0.03
time = 4544, robot_id = 0, x = -0.12, y = -0.20
time = 4544, robot_id = 1, x = 0.26, y = -0.41
time = 4544, robot_id = 2, x = 0.30, y = 0.05
time = 4544, robot_id = 3, x = 0.11, y = 0.13
time = 4544, robot_id = 4, x = 0.45, y = -0.04
time = 4608, robot_id = 0, x = -0.11, y = -0.20
time = 4608, robot_id = 1, x = 0.26, y = -0.41
time = 4608, robot_id = 2, x = 0.30, y = 0.05
time = 4608, robot_id = 3, x = 0.11, y = 0.12
time = 4608, robot_id = 4, x = 0.45, y = -0.04
time = 4672, robot_id = 0, x = -0.11, y = -0.20
time = 4672, robot_id = 1, x = 0.25, y = -0.42
time = 4672, robot_id = 2, x = 0.30, y = 0.04
time = 4672, robot_id = 3, x = 0.11, y = 0.12
time = 4672, robot_id = 4, x = 0.45, y = -0.05
time = 4736, robot_id = 0, x = -0.10, y = -0.20
time = 4736, robot_id = 1, x = 0.25, y = -0.42
time = 4736, robot_id = 2, x = 0.30, y = 0.04
time = 4736, robot_id = 3, x = 0.11, y = 0.11
time = 4736, robot_id = 4, x = 0.45, y = -0.05
time = 4800, robot_id = 0, x = -0.09, y = -0.19
time = 4800, robot_id = 1, x = 0.24, y = -0.42
time = 4800, robot_id = 2, x = 0.30, y = 0.04
time = 4800, robot_id = 3, x = 0.11, y = 0.11
time = 4800, robot_id = 4, x = 0.45, y = -0.06
time = 4864, robot_id = 0, x = -0.09, y = -0.19
time = 4864, robot_id = 1, x = 0.24, y = -0.43
time = 4864, robot_id = 2, x = 0.30, y = 0.03
time = 4864, robot_id = 3, x = 0.11, y = 0.10
time = 4864, robot_id = 4, x = 0.44, y = -0.06
time = 4928, robot_id = 0, x = -0.08, y = -0.19
time = 4928, robot_id = 1, x = 0.24, y = -0.43
time = 4928, robot_id = 2, x = 0.30, y = 0.02
time = 4928, robot_id = 3, x = 0.11, y = 0.10
time = 4928, robot_id = 4, x = 0.44, y = -0.07
time = 4992, robot_id = 0, x = -0.08, y = -0.19
time = 4992, robot_id = 1, x = 0.23, y = -0.43
time = 4992, robot_id = 2, x = 0.30, y = 0.02
